iter	Logloss
0	0.62207507
1	0.5816192302
2	0.5545332638
3	0.535737123
4	0.5220403031
5	0.5127142871
6	0.5052294033
7	0.4984223098
8	0.4949057558
9	0.4906553894
10	0.486381861
11	0.4827184243
12	0.4793958184
13	0.4770104855
14	0.4753486196
15	0.4737027053
16	0.4714894528
17	0.4699723662
18	0.4686265545
19	0.4676344538
20	0.4660820471
21	0.4650307544
22	0.4642036848
23	0.4631733501
24	0.4618858935
25	0.4606084944
26	0.4600298216
27	0.4589805071
28	0.458537386
29	0.4571088709
30	0.4557054843
31	0.4549859651
32	0.4542805554
33	0.4531673174
34	0.4513170199
35	0.4507339607
36	0.449805494
37	0.4484837792
38	0.4473595428
39	0.4464921724
40	0.4456340473
41	0.4442385504
42	0.4433244359
43	0.4428461626
44	0.4414792924
45	0.4405082783
46	0.4395048202
47	0.4385618562
48	0.437871662
49	0.4369113585
50	0.4359855206
51	0.4344746774
52	0.4335511859
53	0.4322711214
54	0.431352205
55	0.4302620382
56	0.4294969277
57	0.4288135353
58	0.4278518651
59	0.4274151972
60	0.4266188897
61	0.4252491529
62	0.4245707553
63	0.4241551533
64	0.422499794
65	0.4218072356
66	0.4208702767
67	0.4202904151
68	0.4198358421
69	0.418922719
70	0.4181410467
71	0.4174810138
72	0.4172969701
73	0.4163133747
74	0.4159252746
75	0.4152409422
76	0.4145186233
77	0.4134532266
78	0.4130033284
79	0.4119792352
80	0.4115384826
81	0.4108258193
82	0.4098961637
83	0.4092851062
84	0.4087143196
85	0.4079762181
86	0.4070205967
87	0.4062217689
88	0.4053481445
89	0.4047370951
90	0.4039761166
91	0.4031633159
92	0.4024924082
93	0.4018422765
94	0.4009322638
95	0.4002868993
96	0.3993243752
97	0.3987872838
98	0.3982316322
99	0.3978257681
