iter	Passed	Remaining
0	149	14811
1	152	7485
2	157	5082
3	162	3898
4	165	3153
5	169	2653
6	172	2290
7	175	2015
8	178	1800
9	180	1624
10	183	1484
11	186	1367
12	189	1265
13	191	1175
14	193	1098
15	196	1029
16	198	969
17	201	916
18	203	869
19	206	825
20	209	787
21	212	751
22	214	719
23	217	690
24	220	662
25	223	636
26	226	611
27	229	589
28	231	567
29	234	547
30	237	529
31	240	511
32	243	494
33	246	478
34	249	463
35	252	448
36	255	435
37	258	421
38	261	408
39	263	395
40	267	384
41	270	372
42	272	361
43	275	351
44	279	341
45	282	331
46	285	321
47	288	312
48	290	302
49	293	293
50	295	284
51	298	275
52	300	266
53	303	258
54	305	250
55	308	242
56	310	234
57	313	226
58	316	219
59	318	212
60	320	205
61	323	198
62	326	191
63	328	184
64	331	178
65	333	171
66	336	165
67	338	159
68	341	153
69	344	147
70	346	141
71	349	135
72	351	130
73	354	124
74	357	119
75	359	113
76	362	108
77	364	102
78	367	97
79	370	92
80	372	87
81	375	82
82	378	77
83	380	72
84	383	67
85	386	62
86	389	58
87	392	53
88	395	48
89	397	44
90	400	39
91	402	35
92	405	30
93	408	26
94	411	21
95	413	17
96	416	12
97	419	8
98	422	4
99	425	0
